Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
255	0	0	0
255	3	3	3
255	5	2	-1
255	7	2	0
255	11	4	2
255	15	4	0
255	20	5	1
255	26	6	1
255	33	7	1
255	40	7	0
255	49	9	2
255	59	10	1
255	69	10	0
255	80	11	1
255	92	12	1
255	105	13	1
255	118	13	0
255	133	15	2
255	149	16	1
255	165	16	0
255	181	16	0
255	199	18	2
255	217	18	0
255	234	17	-1
255	254	20	3
255	275	21	1
255	296	21	0
255	318	22	1
255	340	22	0
255	361	21	-1
255	384	23	2
255	408	24	1
255	431	23	-1
255	456	25	2
255	481	25	0
255	507	26	1
255	534	27	1
255	561	27	0
255	588	27	0
255	615	27	0
255	644	29	2
255	674	30	1
255	704	30	0
255	735	31	1
255	766	31	0
255	797	31	0
255	829	32	1
255	861	32	0
255	894	33	1
255	929	35	2
255	964	35	0
255	999	35	0
255	1033	34	-1
255	1069	36	2
255	1104	35	-1
255	1140	36	1
255	1175	35	-1
255	1212	37	2
255	1249	37	0
255	1285	36	-1
255	1324	39	3
255	1363	39	0
255	1402	39	0
255	1442	40	1
255	1482	40	0
255	1520	38	-2
255	1560	40	2
255	1601	41	1
255	1641	40	-1
255	1683	42	2
255	1724	41	-1
255	1765	41	0
255	1808	43	2
255	1850	42	-1
255	1892	42	0
255	1934	42	0
255	1977	43	1
255	2021	44	1
255	2064	43	-1
255	2108	44	1
255	2152	44	0
255	2197	45	1
255	2241	44	-1
255	2287	46	2
255	2333	46	0
255	2381	48	2
255	2426	45	-3
255	2473	47	2
255	2522	49	2
255	2569	47	-2
255	2617	48	1
255	2664	47	-1
255	2712	48	1
255	2760	48	0
255	2809	49	1
255	2858	49	0
255	2907	49	0
255	2956	49	0
255	3006	50	1
255	3055	49	-1
255	3106	51	2
255	3157	51	0
255	3207	50	-1
255	3258	51	1
255	3309	51	0
255	3361	52	1
255	3412	51	-1
255	3464	52	1
255	3516	52	0
255	3569	53	1
255	3621	52	-1
255	3674	53	1
255	3727	53	0
255	3780	53	0
255	3833	53	0
255	3887	54	1
255	3941	54	0
255	3996	55	1
255	4050	54	-1
255	4104	54	0
255	4159	55	1
255	4213	54	-1
255	4268	55	1
255	4323	55	0
255	4379	56	1
